ruta_legacy,regla,target_slug,target_sku,candidatos
/catalogo-productos-fotografia-iluminacion/,UNRESOLVED,,,profoto-a10-canon (901220); profoto-a10-nikon (901221); profoto-ocf-ii-snoot (101240)
/producto/a-series-battery-mk-ii/,UNRESOLVED,,,tether-table-aero (TTETHERAIRBLK); capture-one-pro (CO-PRO); tetherboost-pro-9-4m (TBPRO)
/producto/a-series-flash-stand/,UNRESOLVED,,,profoto-a10-sony (901222); tether-t-setup (TTSET); profoto-a2 (901230)
/producto/adaptador-rock-solid-baby-ballhead/,UNRESOLVED,,,rock-solid-low-boy-roller (RS-LOWBOY); rock-solid-tripod-roller (RS-TR); rock-solid-2-head-side-arm (RS-2HXBAR)
/producto/air-remote-ttl-c/,UNRESOLVED,,,profoto-air-remote-ttl-s (901041); profoto-air-remote-ttl-f (901042); capture-one-pro (CO-PRO)
/producto/air-remote-ttl-f/,B,profoto-air-remote-ttl-f,901042,
/producto/air-remote-ttl-n/,UNRESOLVED,,,profoto-air-remote-ttl-s (901041); profoto-air-remote-ttl-f (901042); capture-one-pro (CO-PRO)
/producto/air-remote-ttl-s/,B,profoto-air-remote-ttl-s,901041,
/producto/air-usb/,UNRESOLVED,,,profoto-d30 (901070); profoto-b30 (901300); profoto-b20 (901200)
/producto/b10-base-stand/,UNRESOLVED,,,profoto-a2 (901230); tether-t-setup (TTSET); profoto-l600d (902020)
/producto/b1x-500-airttl-to-go-kit/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-pro-b3-750 (901081); profoto-air-remote-ttl-s (901041)
/producto/b1x-kit-locacin/,UNRESOLVED,,,profoto-a2 (901230); profoto-l600c (902022); profoto-d30 (901070)
/producto/batera-li-ion-para-b1-b1x/,UNRESOLVED,,,capture-one-pro-bundle (CO-PRO-BUNDLE); profoto-pro-11 (901900); profoto-pro-b3-750 (901081)
/producto/batera-li-on-profoto-b10/,UNRESOLVED,,,profoto-b30 (901300); profoto-b20 (901200); profoto-b10x (901163)
/producto/bateria-life-para-pro-b3-b2/,UNRESOLVED,,,profoto-pro-b3-750 (901081); capture-one-pro-bundle (CO-PRO-BUNDLE); capture-one-pro (CO-PRO)
/producto/bounce-card/,UNRESOLVED,,,profoto-a2 (901230); profoto-d30 (901070); profoto-b30 (901300)
/producto/cable-de-extensin-de-10-m/,UNRESOLVED,,,phase-one-xt-iq4-150 (XT-IQ4-150); phase-one-xf-iq4-150 (IQ4-150); phase-one-xc-iq4-150 (XC-IQ4-23)
/producto/cable-de-extensin-de-5-m/,UNRESOLVED,,,phase-one-xt-iq4-150 (XT-IQ4-150); capture-one-pro (CO-PRO); phase-one-xf-iq4-150 (IQ4-150)
/producto/capture-one-pro-con-compra-de-flash-profoto-o-camara-digital/,UNRESOLVED,,,capture-one-pro-bundle (CO-PRO-BUNDLE); profoto-connect-pro-non-ttl (901300U); profoto-connect-pro-canon (901300C)
/producto/capture-one-pro/,A,capture-one-pro,CO-PRO,
/producto/cargador-batera-2-8a/,UNRESOLVED,,,profoto-a2 (901230); capture-one-pro (CO-PRO); profoto-d30 (901070)
/producto/cargador-batera-4-5a/,UNRESOLVED,,,capture-one-pro (CO-PRO); profoto-d30 (901070); profoto-pro-11 (901900)
/producto/cargador-batera-auto-1-8a/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-b30-kit-duo (901301); profoto-b20-kit-duo (901201)
/producto/cargador-bateria-2a/,UNRESOLVED,,,profoto-a2 (901230); profoto-pro-11 (901900); profoto-b30-kit-duo (901301)
/producto/cargador-bateria-3a/,UNRESOLVED,,,profoto-d30 (901070); profoto-pro-11 (901900); profoto-b30-kit-duo (901301)
/producto/cargador-bateria-a1/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-a2 (901230); profoto-b30-kit-duo (901301)
/producto/clic-creative-gel-kit/,UNRESOLVED,,,capture-one-pro (CO-PRO); tether-table-aero (TTETHERAIRBLK); profoto-ocf-ii-grid-gel-kit (101235)
/producto/clic-grid-gel-kit/,UNRESOLVED,,,profoto-ocf-ii-grid-gel-kit (101235); capture-one-pro (CO-PRO); tether-t-setup (TTSET)
/producto/corta-flujo-ocf-ii/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-a2 (901230); capture-one-pro (CO-PRO)
/producto/corta-flujo-ocf/,UNRESOLVED,,,profoto-d30 (901070); profoto-b30 (901300); profoto-b20 (901200)
/producto/corta-flujo-para-magnum-telezoom-narrowbeam/,UNRESOLVED,,,profoto-reflector-narrow-beam (101004); profoto-paraguas-deep-white-m (100994); profoto-paraguas-deep-white-s (100993)
/producto/corta-flujo-para-reflector-zoom/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-air-remote-ttl-s (901041)
/producto/diffusor-1-5-paraguas-l/,UNRESOLVED,,,profoto-b10x-plus (901164); profoto-b10x-plus-duo (901164D); profoto-d30-duo (901070D)
/producto/diffusor-1-5-paraguas-m/,UNRESOLVED,,,profoto-b10x-plus (901164); profoto-b10x-plus-duo (901164D); profoto-d30-duo (901070D)
/producto/diffusor-1-5-paraguas-s/,UNRESOLVED,,,profoto-b10x-plus (901164); profoto-b10x-plus-duo (901164D); profoto-d30-duo (901070D)
/producto/diffusor-1-5-paraguas-xl/,UNRESOLVED,,,profoto-b10x-plus-duo (901164D); profoto-b10x-plus (901164); profoto-pro-11 (901900)
/producto/difusor-glass-para-reflectores-softlight/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-air-remote-ttl-s (901041); profoto-air-remote-ttl-f (901042)
/producto/difusor-para-reflectores-softlight/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-air-remote-ttl-s (901041)
/producto/dome-diffuser/,UNRESOLVED,,,profoto-d30-duo (901070D); profoto-d30 (901070); profoto-pro-11 (901900)
/producto/estuche-accesorios/,UNRESOLVED,,,capture-one-pro (CO-PRO); tether-table-aero (TTETHERAIRBLK); profoto-a10-sony (901222)
/producto/grid-10-para-reflector-zoom/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-air-remote-ttl-s (901041)
/producto/grid-5-para-reflector-zoom/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-air-remote-ttl-s (901041)
/producto/grid-50-para-softbox-ocf-13x13-40x40cm/,UNRESOLVED,,,profoto-softbox-ocf-60x90 (101219); profoto-softbox-rfi-40x60 (254703); profoto-softbox-ocf-octa-60 (101218)
/producto/grid-50-para-softbox-ocf-1x3-30x90-cm/,UNRESOLVED,,,profoto-softbox-ocf-60x90 (101219); profoto-softbox-rfi-60x90 (254704); profoto-softbox-rfi-40x60 (254703)
/producto/grid-50-para-softbox-ocf-2-octa-60cm/,UNRESOLVED,,,profoto-softbox-ocf-octa-60 (101218); profoto-softbox-rfi-octa-90 (254706); profoto-softbox-rfi-octa-120 (254707)
/producto/grid-50-para-softbox-ocf-2x3-60x90-cm/,UNRESOLVED,,,profoto-softbox-ocf-60x90 (101219); profoto-softbox-rfi-60x90 (254704); profoto-softbox-ocf-octa-60 (101218)
/producto/grid-kit-10-20/,UNRESOLVED,,,profoto-b20 (901200); profoto-d30 (901070); profoto-d2-kit-500 (901012)
/producto/handle-prohead/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-a2 (901230); capture-one-pro (CO-PRO)
/producto/jerkstopper-camera-support/,UNRESOLVED,,,tether-table-aero (TTETHERAIRBLK); tether-t-setup (TTSET); profoto-pro-b3-750-duo (901082D)
/producto/jerkstopper-extension-lock-high-visibility-orange-3-pack/,UNRESOLVED,,,tether-tools-organization-case (TTORG-STD); profoto-ocf-ii-grid-gel-kit (101235); tetherpro-usbc-usbc-right-angle (CUCA15ORG)
/producto/kit-gel-profoto-a1/,UNRESOLVED,,,profoto-a2 (901230); profoto-d30 (901070); profoto-b30 (901300)
/producto/kit-grid-5-10-20-para-reflector-zoom/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); tetherguard-leverlock (TGLL)
/producto/mochila-m/,UNRESOLVED,,,profoto-a2 (901230); profoto-d30 (901070); profoto-b30 (901300)
/producto/ocf-adapter-para-profoto-a-series-a10-a1x-a1/,UNRESOLVED,,,profoto-air-remote-ttl-s (901041); profoto-air-remote-ttl-f (901042); profoto-pro-d3-1250w (901099)
/producto/ocf-adapter-starter-kit/,UNRESOLVED,,,capture-one-pro (CO-PRO); tether-table-aero (TTETHERAIRBLK); tether-t-setup (TTSET)
/producto/ocf-beauty-dish-silver-2-plegable/,UNRESOLVED,,,profoto-beauty-dish-silver (101006); profoto-beauty-dish-ocf-white (101222); profoto-beauty-dish-ocf-silver (101223)
/producto/ocf-beauty-dish-white-2-plegable/,UNRESOLVED,,,profoto-beauty-dish-white (101005); profoto-beauty-dish-ocf-white (101222); profoto-beauty-dish-ocf-silver (101223)
/producto/ocf-gel-correccin/,UNRESOLVED,,,profoto-ocf-gel-correccion (101280); capture-one-pro (CO-PRO); profoto-connect-canon (901400C)
/producto/ocf-gel-efectos/,B,profoto-ocf-gel-efectos,101281,
/producto/ocf-ii-grid-10/,B,profoto-ocf-ii-grid-10,101230,
/producto/ocf-ii-grid-20/,B,profoto-ocf-ii-grid-20,101231,
/producto/ocf-ii-grid-30/,B,profoto-ocf-ii-grid-30,101232,
/producto/ocf-ii-grid-gel-holder/,UNRESOLVED,,,rock-solid-tripod-roller (RS-TR); profoto-ocf-ii-grid-gel-kit (101235); rock-solid-low-boy-roller (RS-LOWBOY)
/producto/ocf-ii-grid-gel-kit/,B,profoto-ocf-ii-grid-gel-kit,101235,
/producto/ocf-ii-snoot/,B,profoto-ocf-ii-snoot,101240,
/producto/ocf-magnum-reflector/,UNRESOLVED,,,profoto-reflector-zoom (101000); capture-one-pro (CO-PRO); profoto-ocf-gel-efectos (101281)
/producto/ocf-snoot/,UNRESOLVED,,,profoto-a2 (901230); profoto-d30 (901070); profoto-b30 (901300)
/producto/ocf-speedring/,UNRESOLVED,,,profoto-d30 (901070); profoto-pro-11 (901900); profoto-b30 (901300)
/producto/ocf-zoom-reflector/,UNRESOLVED,,,profoto-reflector-zoom (101000); profoto-reflector-magnum (101003); profoto-ocf-gel-efectos (101281)
/producto/panal-10-337mm/,UNRESOLVED,,,profoto-d30 (901070); profoto-b30 (901300); profoto-b20 (901200)
/producto/panal-d1-10/,UNRESOLVED,,,profoto-d30 (901070); profoto-b30 (901300); profoto-b20 (901200)
/producto/panal-d1-20/,UNRESOLVED,,,profoto-b20 (901200); profoto-d30 (901070); profoto-b30 (901300)
/producto/panal-d1-5/,UNRESOLVED,,,profoto-d30 (901070); profoto-b10x (901163); profoto-a2 (901230)
/producto/paraguas-deep-silver-l/,B,profoto-paraguas-deep-silver-l,100999,
/producto/paraguas-deep-silver-m/,B,profoto-paraguas-deep-silver-m,100998,
/producto/paraguas-deep-silver-s/,B,profoto-paraguas-deep-silver-s,100997,
/producto/paraguas-deep-silver-xl/,UNRESOLVED,,,profoto-paraguas-deep-silver-l (100999); profoto-paraguas-deep-silver-s (100997); profoto-paraguas-deep-silver-m (100998)
/producto/paraguas-deep-translucent-l/,B,profoto-paraguas-deep-translucent-l,101002,
/producto/paraguas-deep-translucent-m/,UNRESOLVED,,,profoto-paraguas-deep-translucent-l (101002); profoto-paraguas-deep-silver-m (100998); profoto-paraguas-deep-white-m (100994)
/producto/paraguas-deep-translucent-s/,UNRESOLVED,,,profoto-paraguas-deep-translucent-l (101002); profoto-paraguas-deep-silver-s (100997); profoto-paraguas-deep-white-s (100993)
/producto/paraguas-deep-translucent-xl/,UNRESOLVED,,,profoto-paraguas-deep-translucent-l (101002); profoto-paraguas-deep-white-xl (100996); profoto-paraguas-deep-silver-l (100999)
/producto/paraguas-deep-white-l/,B,profoto-paraguas-deep-white-l,100995,
/producto/paraguas-deep-white-m/,B,profoto-paraguas-deep-white-m,100994,
/producto/paraguas-deep-white-s/,B,profoto-paraguas-deep-white-s,100993,
/producto/paraguas-deep-white-xl/,B,profoto-paraguas-deep-white-xl,100996,
/producto/porta-filtros-y-panales/,UNRESOLVED,,,profoto-b10x-plus (901164); profoto-pro-11 (901900); profoto-a2 (901230)
/producto/profoto-a10-canon-new/,UNRESOLVED,,,profoto-a10-canon (901220); profoto-a10-nikon (901221); profoto-a10-sony (901222)
/producto/profoto-a10-fuji-new/,UNRESOLVED,,,profoto-a10-fuji (901223); profoto-a10-canon (901220); profoto-a10-nikon (901221)
/producto/profoto-a10-kit-connect-canon-new/,UNRESOLVED,,,profoto-connect-canon (901400C); profoto-connect-pro-non-ttl (901300U); profoto-connect-nikon (901400N)
/producto/profoto-a10-kit-connect-fuji-new/,UNRESOLVED,,,profoto-connect-fuji (901400F); profoto-connect-canon (901400C); profoto-connect-nikon (901400N)
/producto/profoto-a10-kit-connect-nikon-new/,UNRESOLVED,,,profoto-connect-nikon (901400N); profoto-connect-canon (901400C); profoto-connect-sony (901400S)
/producto/profoto-a10-kit-connect-sony-new/,UNRESOLVED,,,profoto-connect-sony (901400S); profoto-connect-canon (901400C); profoto-connect-pro-canon (901300C)
/producto/profoto-a10-nikon-new/,UNRESOLVED,,,profoto-a10-nikon (901221); profoto-a10-canon (901220); profoto-a10-sony (901222)
/producto/profoto-a10-sony-new/,UNRESOLVED,,,profoto-a10-sony (901222); profoto-a10-canon (901220); profoto-a10-nikon (901221)
/producto/profoto-a1x-kit-connect-para-canon/,UNRESOLVED,,,profoto-connect-pro-canon (901300C); profoto-connect-pro-nikon (901300N); profoto-connect-canon (901400C)
/producto/profoto-a1x-kit-connect-para-fuji/,UNRESOLVED,,,profoto-connect-pro-fuji (901300F); profoto-connect-fuji (901400F); profoto-connect-pro-sony (901300S)
/producto/profoto-a1x-kit-connect-para-nikon/,UNRESOLVED,,,profoto-connect-pro-nikon (901300N); profoto-connect-pro-canon (901300C); profoto-connect-nikon (901400N)
/producto/profoto-a1x-kit-connect-para-sony/,UNRESOLVED,,,profoto-connect-pro-sony (901300S); profoto-connect-sony (901400S); profoto-connect-pro-canon (901300C)
/producto/profoto-a1x-para-canon/,UNRESOLVED,,,profoto-a10-canon (901220); profoto-connect-canon (901400C); profoto-b10x-plus-duo (901164D)
/producto/profoto-a1x-para-fuji/,UNRESOLVED,,,profoto-a10-fuji (901223); profoto-b10x-plus-duo (901164D); profoto-connect-fuji (901400F)
/producto/profoto-a1x-para-nikon/,UNRESOLVED,,,profoto-a10-nikon (901221); profoto-a10-canon (901220); profoto-connect-nikon (901400N)
/producto/profoto-a1x-para-sony/,UNRESOLVED,,,profoto-a10-sony (901222); profoto-a10-canon (901220); profoto-a10-nikon (901221)
/producto/profoto-a2/,A,profoto-a2,901230,
/producto/profoto-air-remote-universal/,A,profoto-air-remote-universal,901030,
/producto/profoto-b10-kit-duo/,UNRESOLVED,,,profoto-b30-kit-duo (901301); profoto-b20-kit-duo (901201); profoto-b10x-duo (901163D)
/producto/profoto-b10-plus-kit-duo/,UNRESOLVED,,,profoto-b10x-plus-duo (901164D); profoto-b30-kit-duo (901301); profoto-b20-kit-duo (901201)
/producto/profoto-b10-plus/,UNRESOLVED,,,profoto-b10x-plus (901164); profoto-b10x-duo (901163D); profoto-d30-duo (901070D)
/producto/profoto-b10/,UNRESOLVED,,,profoto-b30 (901300); profoto-b20 (901200); profoto-b10x (901163)
/producto/profoto-b10x-duo-kit/,UNRESOLVED,,,profoto-b10x-duo (901163D); profoto-b10x-plus-duo (901164D); profoto-d30-duo (901070D)
/producto/profoto-b10x-plus-duo-kit/,UNRESOLVED,,,profoto-b10x-plus-duo (901164D); profoto-b10x-plus (901164); profoto-b10x-duo (901163D)
/producto/profoto-b10x-plus/,A,profoto-b10x-plus,901164,
/producto/profoto-b10x/,A,profoto-b10x,901163,
/producto/profoto-b20-kit-duo/,A,profoto-b20-kit-duo,901201,
/producto/profoto-b20/,A,profoto-b20,901200,
/producto/profoto-b30-kit-duo/,A,profoto-b30-kit-duo,901301,
/producto/profoto-b30/,A,profoto-b30,901300,
/producto/profoto-beauty-dish-silver/,A,profoto-beauty-dish-silver,101006,
/producto/profoto-beauty-dish-white/,A,profoto-beauty-dish-white,101005,
/producto/profoto-c1-plus/,UNRESOLVED,,,profoto-b10x-plus (901164); profoto-d30-duo (901070D); profoto-b10x-duo (901163D)
/producto/profoto-c1/,UNRESOLVED,,,profoto-a2 (901230); profoto-d30 (901070); profoto-b30 (901300)
/producto/profoto-connect-para-canon/,UNRESOLVED,,,profoto-connect-pro-canon (901300C); profoto-connect-pro-nikon (901300N); profoto-connect-canon (901400C)
/producto/profoto-connect-para-fujifilm/,UNRESOLVED,,,profoto-connect-pro-fuji (901300F); profoto-connect-pro-nikon (901300N); profoto-connect-pro-leica (901300L)
/producto/profoto-connect-para-nikon/,UNRESOLVED,,,profoto-connect-pro-nikon (901300N); profoto-connect-pro-canon (901300C); profoto-connect-nikon (901400N)
/producto/profoto-connect-para-sony/,UNRESOLVED,,,profoto-connect-pro-sony (901300S); profoto-connect-sony (901400S); profoto-connect-pro-canon (901300C)
/producto/profoto-connect-pro-for-canon/,UNRESOLVED,,,profoto-connect-pro-canon (901300C); profoto-connect-pro-nikon (901300N); profoto-connect-pro-sony (901300S)
/producto/profoto-connect-pro-for-nikon/,UNRESOLVED,,,profoto-connect-pro-nikon (901300N); profoto-connect-pro-canon (901300C); profoto-connect-pro-sony (901300S)
/producto/profoto-connect-pro-non-ttl/,A,profoto-connect-pro-non-ttl,901300U,
/producto/profoto-connect-pro-para-fujifilm/,UNRESOLVED,,,profoto-connect-pro-fuji (901300F); profoto-connect-pro-non-ttl (901300U); profoto-connect-pro-canon (901300C)
/producto/profoto-connect-pro-para-leica/,UNRESOLVED,,,profoto-connect-pro-leica (901300L); profoto-connect-pro-canon (901300C); profoto-connect-pro-fuji (901300F)
/producto/profoto-connect-pro-para-sony/,UNRESOLVED,,,profoto-connect-pro-sony (901300S); profoto-connect-pro-canon (901300C); profoto-connect-pro-nikon (901300N)
/producto/profoto-d2-1000-airttl/,UNRESOLVED,,,profoto-d2-kit-500 (901012); profoto-a10-nikon (901221); profoto-d30-duo (901070D)
/producto/profoto-d2-500-airttl/,UNRESOLVED,,,profoto-d2-kit-500 (901012); profoto-d30-duo (901070D); profoto-b20-kit-duo (901201)
/producto/profoto-d2-kit-1000-1000-airttl/,UNRESOLVED,,,profoto-d2-kit-500 (901012); profoto-connect-pro-non-ttl (901300U); profoto-ocf-ii-grid-gel-kit (101235)
/producto/profoto-d2-kit-500-500-airttl/,UNRESOLVED,,,profoto-d2-kit-500 (901012); profoto-connect-pro-non-ttl (901300U); profoto-b20-kit-duo (901201)
/producto/profoto-d30-duo-kit/,UNRESOLVED,,,profoto-d30-duo (901070D); profoto-b30-kit-duo (901301); profoto-b10x-duo (901163D)
/producto/profoto-d30/,A,profoto-d30,901070,
/producto/profoto-l1600d/,A,profoto-l1600d,902010,
/producto/profoto-pro-10/,UNRESOLVED,,,profoto-pro-11 (901900); profoto-d30 (901070); profoto-pro-b3-750 (901081)
/producto/profoto-pro-11/,A,profoto-pro-11,901900,
/producto/profoto-pro-b3-750-duo-kit/,UNRESOLVED,,,profoto-pro-b3-750-duo (901082D); profoto-pro-d3-750w-duo (901097D); profoto-pro-d3-1250w-duo (901099D)
